('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('SrinivaG', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('SrinivaG', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('SrinivaG', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('SrinivaG', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
('SrinivaG', 'M', 25L, 'M', 6000.0)
('Prithvi', 'M', 25L, 'M', 6000.0)
